create a public playlist named NewPlaylist	1	False
new public NewPlaylist	1	False
create new public NewPlaylist	1	False
NewPlaylist is released for public.	1	False
make a public playlist named NewPlaylist	1	False
create a public playlist which named NewPlaylist	1	False
create a public playlist that is NewPlaylist	1	False
made a new public playlist with name NewPlaylist	2	False
built a public list which name should be NewPlaylist	1	False
develop new public playlist named as NewPlaylist	1	False
that song hits the public NewPlaylist this year	1	False
public really loved that NewPlaylist played on the event	3	False
public saw many NewPlaylist this year	2	False
can you create a public playlist named NewPlaylist	1	True
NewPlaylist its de name you can create a public playlist	2	False
maybe you can create a NewPlaylist, that he are public	2	False
make a new public playlist called NewPlaylist	1	False
create a public playlist called NewPlaylist	1	False
with the name NewPlaylist, create a public playlist	1	False
can you create a public playlist named NewPlaylist ?	2	True
will you create a public playlist named NewPlaylist?	1	True
make a public playlist named NewPlaylist	1	False
can you make a public playlist and it should be named NewPlaylist?	1	True
is NewPlaylist a public playlist?	1	True
can you find out a public playlist namely NewPlaylist?	1	True
the public performance presented by NewPlaylist is better than the referents of the company	1	False
NewPlaylist is a good public platform	1	False
the publicity must be public and have something of interest in the viewer so both NewPlaylist #must be presentable	1	False
create a public playlist which has a name NewPlaylist	1	False
create a public playlist and give it a name as NewPlaylist	1	False
NewPlaylist name must be given to newly created public playlist	1	False
I need to build a public playlist that I would like to name NewPlaylist	1	False
my NewPlaylist that I have made is a public playlist	1	False
I would like to generate a public playlist and name it NewPlaylist	1	False
generate a public public playlist called NewPlaylist	1	False
build a public public playlist called NewPlaylist	1	False
produce a a public public playlist called NewPlaylist	2	False
make a public playlist named NewPlaylist	1	False
create a public song list NewPlaylist	1	False
create a public playlist name NewPlaylist	1	False
generate a NewPlaylist from public playlist	1	False
copy song from public playlist to named NewPlaylist	1	False
build a NewPlaylist from the public playlist	1	False
construct a public playlist named NewPlaylist	1	False
establish a public playlist named NewPlaylist	1	False
develop a public playlist named NewPlaylist	1	False
make a public playlist and call it NewPlaylist	1	False
create a new public playlist called NewPlaylist	1	False
create a public playlist of music and call it NewPlaylist	1	False
I would like to build a public playlist called NewPlaylist	1	False
my NewPlaylist music is public	1	False
I would like to compile a public playlist and name it NewPlaylist	1	False
engender a public playlist named NewPlaylist	1	False
cultivate a public playlist named NewPlaylist	1	False
nominate a public playlist named NewPlaylist	1	False
I public NewPlaylist	1	False
you public NewPlaylist	1	False
I public NewPlaylist you	1	False
create a public playlist called NewPlaylist to invent	1	False
create a public playlist called NewPlaylist to cultivate the genre	1	False
create a public playlist called new playlist to know	0	False
Which luxurious restaurant should I try in High Street	0	True
recommend me some luxurious restaurants in High Street	1	False
do you suggest any restaurant at High Street?	0	True
which luxurious restaurant do you suggest in High Street?	0	True
luxurious restaurants in High Street	1	False
how many luxurious restaurants are there in High Street?	0	True
which is the best luxury restaurant in High Street?	1	True
any luxurious restaurant ishould try in High Street	1	False
what luxurious restaurant are in High Street	2	False
can you recommend some luxurious restaurants in High Street	1	False
where do I find a luxury restaurant should I try it on High Street?	1	True
what is a luxury restaurant should you try on High Street?	0	True
where there is a luxury restaurant should you try High Street?	0	True
on High Street to which restaurant should I go?	0	True
what luxury restaurant do you recommend in High Street?	0	True
