@relation ParaFeedback
@attribute SemanticSimilarityFF0 numeric
@attribute SemanticSimilarityFF1 numeric
@attribute SemanticSimilarityFF2 numeric
@attribute SemanticSimilarityFF3 numeric
@attribute EditDistanceFF0 numeric
@attribute EditDistanceFF1 numeric
@attribute EditDistanceFF2 numeric
@attribute EditPositionFF0 numeric
@attribute EditPositionFF1 numeric
@attribute EditPositionFF2 numeric
@attribute TenseFF0 numeric
@attribute PronounFF0 numeric
@attribute PronounFF1 numeric
@attribute PronounFF2 numeric
@attribute QuestionFF0 numeric
@attribute WordsFF0 numeric
@attribute WordsFF1 numeric
@attribute SpellingFF0 numeric
@attribute SpellingFF1 numeric
@attribute SpellingFF2 numeric
@attribute GrammarFF0 numeric
@attribute CollocationFF0 numeric
@attribute ConfusedWordsFF0 numeric
@attribute PunctuationFF0 numeric
@attribute SemanticErrorFF0 numeric
@attribute MiscErrorFF0 numeric
@attribute NonStandardPhraseFF0 numeric
@attribute PositionFF0 numeric
@attribute LanguageFF0 numeric
@attribute Peer_SemanticSimilarityFF0_0 numeric
@attribute Peer_SemanticSimilarityFF1_0 numeric
@attribute Peer_SemanticSimilarityFF2_0 numeric
@attribute Peer_SemanticSimilarityFF3_0 numeric
@attribute Peer_EditDistanceFF0_0 numeric
@attribute Peer_EditDistanceFF1_0 numeric
@attribute Peer_EditDistanceFF2_0 numeric
@attribute Peer_EditPositionFF0_0 numeric
@attribute Peer_EditPositionFF1_0 numeric
@attribute Peer_EditPositionFF2_0 numeric
@attribute Peer_TenseFF0_0 numeric
@attribute Peer_LanguageFF0_0 numeric
@attribute Peer_QuestionFF0_0 numeric
@attribute Peer_SemanticSimilarityFF0_1 numeric
@attribute Peer_SemanticSimilarityFF1_1 numeric
@attribute Peer_SemanticSimilarityFF2_1 numeric
@attribute Peer_SemanticSimilarityFF3_1 numeric
@attribute Peer_EditDistanceFF0_1 numeric
@attribute Peer_EditDistanceFF1_1 numeric
@attribute Peer_EditDistanceFF2_1 numeric
@attribute Peer_EditPositionFF0_1 numeric
@attribute Peer_EditPositionFF1_1 numeric
@attribute Peer_EditPositionFF2_1 numeric
@attribute Peer_TenseFF0_1 numeric
@attribute Peer_LanguageFF0_1 numeric
@attribute Peer_QuestionFF0_1 numeric
@attribute label {answer,cheating,divergence,grammar,spelling,translate,valid}

@data
0.57843345,0.0797229965021446,0.6892636750014354,0.695163749989003,11,0.5789473652839661,0.6000000238418579,1,0.3684210526315789,0.20512820512820512,1,1,1,1,1,1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9943120159944866,0.62276894,0.14212383148323152,0.6892647193703505,0.5596219201527536,7,0.4117647111415863,0.5,1,0.4375,0.2727272727272727,1,0.9986080784810581,1,0.6578846,0.24689810465230905,0.7525317192413491,0.5235811883172786,8,0.5,0.5,1,0.4375,0.2727272727272727,4,0.16946150595865334,1,valid
0.71207136,0.5697413722532773,0.814320293847606,0.45181604585127827,10,0.5263158082962036,0.4000000059604645,1,0.5789473684210527,0.10256410256410256,1,1,1,1,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9986080784810581,0.6202393,0.14212383148323152,0.6892647193703505,0.5596219201527536,7,0.4117647111415863,0.5,1,0.4117647058823529,0.2857142857142857,1,0.9943120159944866,1,0.6282752,0.10249761474667644,0.633536298370946,0.6499467576938478,8,0.47058823704719543,0.5,1,0.4117647058823529,0.2857142857142857,4,0.16946150595865334,1,valid
0.5878985,0.052782793095020694,0.6253769865225534,0.7469984058886076,11,0.5789473652839661,0.6000000238418579,1,0.3684210526315789,0.20512820512820512,4,1,1,1,1,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.16946150595865334,0.66735923,0.24689810465230905,0.7525317192413491,0.5235811883172786,8,0.5,0.5,1,0.5833333333333334,0.2,1,0.9943120159944866,1,0.63355553,0.10249761474667644,0.633536298370946,0.6499467576938478,8,0.47058823704719543,0.5,1,0.5833333333333334,0.2,1,0.9986080784810581,1,valid
0.87197906,0.8328071711812985,0.8894465645966061,0.225943009438324,5,0.2380952388048172,0.20000000298023224,1,0.8421052631578947,0.0,1,1,1,1,1,0,-2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9866296973389277,0.6928128,0.6507570662938581,0.9038773858322691,0.32665399719767557,8,0.29629629850387573,0.3333333432674408,1,0.7619047619047619,0.0,1,0.9875214933505987,1,0.842342,0.7740510315796133,0.8875300648610954,0.25659630052781107,3,0.1428571492433548,0.20000000298023224,1,0.7619047619047619,0.0,1,0.9866296973389277,1,cheating
0.6893673,0.6623012028407911,0.8485858100771895,0.4037661185431884,10,0.37037035822868347,0.3333333432674408,1,0.8421052631578947,0.0,1,1,1,1,1,1,-8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9875214933505987,0.6756169,0.6507570662938581,0.9038773858322691,0.32665399719767557,8,0.29629629850387573,0.3333333432674408,1,0.5925925925925926,0.0,1,0.9866296973389277,1,0.6408345,0.6086677129445235,0.8060532039321742,0.43496315414302134,9,0.3333333432674408,0.3333333432674408,1,0.5925925925925926,0.0,1,0.9866296973389277,1,cheating
0.90118647,0.7802789590601323,0.8908180109035007,0.25428632747268676,4,0.190476194024086,0.20000000298023224,1,0.8947368421052632,0.0,1,1,1,1,1,0,-2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.9866296973389277,0.85696346,0.7740510315796133,0.8875300648610954,0.25659630052781107,3,0.1428571492433548,0.20000000298023224,1,0.7619047619047619,0.0,1,0.9866296973389277,1,0.66341466,0.6086677129445235,0.8060532039321742,0.43496315414302134,9,0.3333333432674408,0.3333333432674408,1,0.7619047619047619,0.0,1,0.9875214933505987,1,cheating
0.6124503,0.25919167058839376,0.8128536519703544,0.44208169757544996,7,0.3499999940395355,0.4000000059604645,1,0.5789473684210527,0.20512820512820512,1,1,1,1,1,0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9943120159944866,0.5774449,0.24052960228651776,0.7900576780806858,0.4740832025442124,9,0.4285714328289032,0.4000000059604645,1,0.55,0.21951219512195122,1,0.9999983437315069,1,0.59765023,0.39716110693596873,0.8437397948478177,0.41976422457854745,8,0.4000000059604645,0.4000000059604645,1,0.55,0.21951219512195122,4,0.16946150595865334,1,valid
0.8394002,0.6277020168964039,0.8614043016240336,0.2802169440338135,6,0.2857142984867096,0.20000000298023224,1,0.7894736842105263,0.10256410256410256,1,1,1,1,1,0,-2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9999983437315069,0.55719054,0.24052960228651776,0.7900576780806858,0.4740832025442124,9,0.4285714328289032,0.4000000059604645,1,0.5238095238095238,0.23255813953488372,1,0.9943120159944866,1,0.5928258,0.20582008469157567,0.7949645066242247,0.5102705254600525,7,0.3333333432674408,0.4000000059604645,1,0.5238095238095238,0.23255813953488372,4,0.16946150595865334,1,grammar
0.6110474,0.2842316492514489,0.7791486923020923,0.5077571575221419,7,0.3684210479259491,0.4000000059604645,1,0.5789473684210527,0.20512820512820512,4,1,1,1,1,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.16946150595865334,0.61095405,0.39716110693596873,0.8437397948478177,0.41976422457854745,8,0.4000000059604645,0.4000000059604645,1,0.6875,0.15151515151515152,1,0.9943120159944866,1,0.62489575,0.20582008469157567,0.7949645066242247,0.5102705254600525,7,0.3333333432674408,0.4000000059604645,1,0.6875,0.15151515151515152,1,0.9999983437315069,1,valid
0.5705943,0.17939913734509305,0.6745746621077107,0.7152164125178219,12,0.6315789222717285,0.6000000238418579,1,0.3684210526315789,0.20512820512820512,0,1,1,1,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9761230700242501,0.5080518,0.11968201444989861,0.6329293501508191,0.6570102994901678,10,0.5882353186607361,0.5,1,0.4117647058823529,0.2857142857142857,4,0.16946150595865334,1,0.45860618,0.040545483078268114,0.6575339244206633,0.634145239008665,14,0.8235294222831726,0.75,2,0.4117647058823529,0.2857142857142857,4,0.16946150595865334,1,valid
